Rank,Name,Year,Rating,Link,Director
70,Witness for the Prosecution,1957,8.3,https://www.imdb.com/title/tt0051201/,2 more credits
71,The Dark Knight Rises,2012,8.3,https://www.imdb.com/title/tt1345836/,Jonathan Nolan
72,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/,Harry Grey
73,Aliens,1986,8.3,https://www.imdb.com/title/tt0090605/,James Cameron
74,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/,Kevin Spacey
75,Coco,2017,8.3,https://www.imdb.com/title/tt2380307/,Lee Unkrich
76,Kimi no na wa.,2016,8.3,https://www.imdb.com/title/tt5311514/,Makoto Shinkai
77,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/,Mel Gibson
78,Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/,Wolfgang Petersen
79,3 Idiots,2009,8.3,https://www.imdb.com/title/tt1187043/,Rajkumar Hirani
80,Taare Zameen Par,2007,8.3,https://www.imdb.com/title/tt0986264/,Amole Gupte
81,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/,Richard Marquand
82,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/,John Lasseter
83,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/,Quentin Tarantino
84,Amadeus,1984,8.3,https://www.imdb.com/title/tt0086879/,Milos Forman
85,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/,Mahavir Singh Phogat
86,Inglourious Basterds,2009,8.3,https://www.imdb.com/title/tt0361748/,Quentin Tarantino
87,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/,Matt Damon
88,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/,Peter Lorre
89,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/,Hubert Selby Jr.
90,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/,Stanley Kubrick
91,Vertigo,1958,8.3,https://www.imdb.com/title/tt0052357/,Alfred Hitchcock
92,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/,Michel Gondry
93,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/,Herman J. Mankiewicz
94,Full Metal Jacket,1987,8.3,https://www.imdb.com/title/tt0093058/,Stanley Kubrick
95,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/,Thomas Vinterberg
96,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/,Alfred Hitchcock
97,A Clockwork Orange,1971,8.3,https://www.imdb.com/title/tt0066921/,Stanley Kubrick
98,Snatch,2000,8.3,https://www.imdb.com/title/tt0208092/,Guy Ritchie
99,The Kid,1921,8.2,https://www.imdb.com/title/tt0012349/,Edna Purviance
100,Amélie,2001,8.2,https://www.imdb.com/title/tt0211915/,Guillaume Laurant
101,Ladri di biciclette,1948,8.2,https://www.imdb.com/title/tt0040522/,Luigi Bartolini
102,Scarface,1983,8.2,https://www.imdb.com/title/tt0086250/,Oliver Stone
103,Singin' in the Rain,1952,8.2,https://www.imdb.com/title/tt0045152/,Stanley Donen
104,Lawrence of Arabia,1962,8.2,https://www.imdb.com/title/tt0056172/,T.E. Lawrence
105,Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/,Paul Schrader
106,Toy Story 3,2010,8.2,https://www.imdb.com/title/tt0435761/,Lee Unkrich
107,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/,George Roy Hill
108,Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/,Thea von Harbou
109,Per qualche dollaro in più,1965,8.2,https://www.imdb.com/title/tt0059578/,Fulvio Morsella
110,Ikiru,1952,8.2,https://www.imdb.com/title/tt0044741/,Nobuo Kaneko
111,Double Indemnity,1944,8.2,https://www.imdb.com/title/tt0036775/,Billy Wilder
112,Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com/title/tt1832382/,Payman Maadi
113,To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/,Harper Lee
114,Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/,Steven Spielberg
115,The Apartment,1960,8.2,https://www.imdb.com/title/tt0053604/,Jack Lemmon
116,Capharnaüm,2018,8.2,https://www.imdb.com/title/tt8267604/,Jihad Hojeily
117,Up,2009,8.2,https://www.imdb.com/title/tt1049413/,Pete Docter
118,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/,Curtis Hanson
119,Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/,Terry Gilliam
120,Incendies,2010,8.2,https://www.imdb.com/title/tt1255953/,Denis Villeneuve
121,Heat,1995,8.2,https://www.imdb.com/title/tt0113277/,Michael Mann
122,Rashômon,1950,8.2,https://www.imdb.com/title/tt0042876/,1 more credit
123,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/,Bob Kane
124,Yôjinbô,1961,8.2,https://www.imdb.com/title/tt0055630/,1 more credit
125,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/,Roderick Thorp
126,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/,David Webb Peoples
127,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/,Peter Farrelly
128,Der Untergang,2004,8.2,https://www.imdb.com/title/tt0363163/,2 more credits
129,Bacheha-Ye aseman,1997,8.2,https://www.imdb.com/title/tt0118849/,Majid Majidi
130,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/,Billy Wilder
131,Drishyam,2013,8.2,https://www.imdb.com/title/tt3417422/,Saeid Shahi
132,Hauru no ugoku shiro,2004,8.2,https://www.imdb.com/title/tt0347149/,Hayao Miyazaki
133,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/,John Sturges
134,Tonari no Totoro,1988,8.2,https://www.imdb.com/title/tt0096283/,Hayao Miyazaki
135,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/,Akira Kurosawa
136,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/,Ron Howard
137,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/,Bette Davis
138,Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/,Guillermo del Toro
139,Casino,1995,8.2,https://www.imdb.com/title/tt0112641/,Nicholas Pileggi
140,Idi i smotri,1985,8.2,https://www.imdb.com/title/tt0091251/,Ales Adamovich
141,El secreto de sus ojos,2009,8.2,https://www.imdb.com/title/tt1305806/,Juan José Campanella
142,Raging Bull,1980,8.2,https://www.imdb.com/title/tt0081398/,Jake LaMotta
143,"Lock, Stock and Two Smoking Barrels",1998,8.2,https://www.imdb.com/title/tt0120735/,Guy Ritchie
144,Babam ve Oglum,2005,8.1,https://www.imdb.com/title/tt0476735/,Hümeyra
145,The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com/title/tt0040897/,John Huston
146,The Wolf of Wall Street,2013,8.1,https://www.imdb.com/title/tt0993846/,Jordan Belfort
147,Judgment at Nuremberg,1961,8.1,https://www.imdb.com/title/tt0055031/,Abby Mann
148,"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com/title/tt5027774/,Martin McDonagh
