Name,Price,Rating,Description
"Nokia Asha 503 (White, 128 MB)","₹7,399",3.9,
"Nokia 3.2 (Black, 16 GB)","₹10,199",3.9,
"Nokia C 30 (Green, 64 GB)","₹10,999",3.7,
"Nokia X2 Dual SIM (Bright Green, 4 GB)","₹9,999",4.2,
"Nokia 8 Sirocco (Black, 128 GB)","₹54,999",4.2,
"Nokia C01 Plus (Blue, 32 GB)","₹7,999",3.8,
"Nokia 8.1 (Iron, 64 GB)","₹28,831",4.3,
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Charcoal, 64 GB)","₹6,317",3.7,
"Nokia 8.1 (Iron, 64 GB)","₹28,831",4.3,
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Charcoal, 64 GB)","₹6,317",3.7,
"Nokia 8 (Tempered Blue, 64 GB)","₹36,999",4,
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Mint, 64 GB)","₹8,499",3.7,
"Nokia 5.4 (Polar Night, 64 GB)","₹18,499",3.9,
"Nokia C01 Plus (Blue, 16 GB)","₹6,999",3.8,
"Nokia 3.2 (Steel, 16 GB)","₹10,199",3.9,
"Nokia G21 Dual Sim 50MP Camera, 8MP Front Camera (Dusk, 128 GB)","₹16,999",4,
"Nokia 9 (Blue, 128 GB)","₹56,299",3.7,
"Nokia 8 (Steel, 64 GB)","₹36,999",4,
"Nokia Lumia 625 (White, 8 GB)","₹17,599",4.1,
"Nokia 6.1 Plus (Black, 64 GB)","₹17,600",4.3,
"Nokia 6.1 Plus (White, 64 GB)","₹17,600",4.3,
"Nokia 6.1 Plus (Blue, 64 GB)","₹17,199",4.3,
"Nokia 3.4 (Fjord BLUE, 64 GB)","₹13,999",4,
"Nokia 8.1 (Blue, 64 GB)","₹28,831",4.3,
Nokia 235 4G DS,"₹4,069",3.6,
Nokia 225,"₹3,499",3.6,
Nokia C5-00,"₹7,664",2.3,
"Nokia Lumia 930 (Black, 32 GB)","₹37,999",4.2,
Nokia 215,"₹2,299",4.1,
Nokia 130,"₹2,049",4.2,
Nokia 105 Classic with Charger,"₹1,245",3.4,
"Nokia 2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,805",4.2,
Nokia TA-1619,"₹4,797",3.4,
Nokia 225,"₹3,499",3.6,
Nokia 235 4G DS,"₹4,069",3.6,
"Nokia 106-SS-1578,32 MB,1000 mAh Battery.","₹1,649",3.8,
Nokia 220,"₹2,999",4,
"Nokia TA-01570 DS Charcoal , display 1.77inch","₹1,699",3.8,
Nokia 215,"₹2,299",4.1,
Nokia 105 Classic with Charger,"₹1,245",3.4,
Nokia C5-00,"₹7,967",3,
Nokia 130,"₹2,049",4.2,
Nokia C5-00,"₹7,664",2.3,
Nokia 130,"₹2,049",4.2,
"Nokia 110 Dual Sim, Keypad Mobile with Wireless FM Radio, Bluetooth and Rear Camera","₹2,099",3.6,
Nokia 150,"₹2,599",3.9,
Nokia C5-OO,"₹7,981",2,
Nokia C5-00,"₹7,712",3,
Nokia 220 DS 4G,"₹3,778",3.9,
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",₹898,3.8,
Nokia 105 DS 2020,"₹1,599",4,
Nokia 106,,3.6,
"Nokia 105 Dual Sim, Keypad Mobile Phone with Wireless FM Radio","₹1,699",3.2,
"Nokia 6310 Dual SIM Feature Mobile, Wireless FM Radio and Rear Camera","₹4,499",3.6,
"Nokia 2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,805",4.2,
Nokia 208,"₹5,599",3.6,
Nokia 2660,"₹5,899",4.3,
Nokia 2660 Flip,"₹4,899",3.1,
Nokia C5-OO,"₹7,981",2,
Nokia E72,"₹9,999",3.5,
Nokia C5-00,"₹7,712",3,
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",₹898,3.8,
Nokia 105 DS 2020,"₹1,599",4,
"Nokia 2660 Flip 4G Volte Blue keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,799",4.1,
Nokia 105 DS 2020,"₹1,575",4,
"Nokia 2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player","₹4,805",4.2,
"Nokia 5710 Phone with Wireless Earbuds, MP3 Player,FM Radio (48MB RAM)","₹6,499",3.6,
Nokia 208,"₹5,599",3.6,
Nokia 110 4G,"₹3,299",3.9,
Nokia 150,,3.9,
Nokia 110 2G DS,"₹1,999",3.6,
"Nokia 2660 Flip 4G Volte Red keypad Mobile with Dual Sim & Screen, MP3 Player",,4,
Nokia 301,"₹6,169",3.3,
Nokia 106,"₹1,560",4.1,
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,495",3.8,
"Nokia 5710 Dual Sim XpressAudio keypad Phone,MP3 Player, FM Radio and Bigger Battery","₹4,499",3.6,
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,252",3.8,
Nokia 106,"₹1,699",3.6,
Nokia 110 DS,"₹1,749",4,
"Nokia 106 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,619",3.4,
Nokia 150 2G 2020,"₹1,512",2.7,
Nokia 216 DS,"₹3,299",4.2,
Nokia 215 4G DS 2020,"₹3,598",3.7,
"Nokia 8210 4G Volte keypad Phone with Dual SIM, Big Display, MP3 Player","₹3,999",3.7,
"Nokia 215 DS 4G Keypad Phone with Long Battery Life,Wireless FM Radio","₹3,599",3.7,
Nokia 8110 4G,"₹6,699",3.7,
Nokia 150 2G 2020,"₹1,512",2.7,
