Category,Title,Link,Price,Location,Date,Bedrooms,SqFt,ImageURL
housing,How can I get in touch with Spring Home about a site visit?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/how-can-get-in-touch-with-spring-home/7889439719.html,N/A,Noida Extension,N/A,N/A,N/A,https://images.craigslist.org/d/7889439719/00n0n_4wzlKcuRVDf_0gw09i_300x300.jpg
housing,How can I get in touch with Spring Home about a site visit?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/how-can-get-in-touch-with-spring-home/7889439588.html,N/A,Noida,N/A,N/A,N/A,https://images.craigslist.org/d/7889439588/01616_gybXbPvdwf1_0gw09i_300x300.jpg
housing,Beautiful self-catered Service Apartments near Medanta Medicity,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/beautiful-self-catered-service/7889437651.html,"₨2,300",1br 220ft 2 Gurgaon,N/A,1br,220sqft,https://images.craigslist.org/d/7889437651/00H0H_erBksd7SrVs_0ww0ii_300x300.jpg
housing,Fully furnished with private Kitchens & Living Rooms,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/fully-furnished-with-private-kitchens/7889436687.html,"₨2,800",330ft 2 Gurgaon,N/A,1br,330sqft,https://images.craigslist.org/d/7889436687/00r0r_dYJtcEaQqi0_0CI0lM_300x300.jpg
housing,Find the most beautiful flats in Amrapali Zodiac Sector 120 Noida,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/find-the-most-beautiful-flats-in/7889435898.html,"₨5,500,000",2300ft 2 Noida,N/A,N/A,2300sqft,https://images.craigslist.org/d/7889435898/01212_iTDcTN5chch_0co09i_300x300.jpg
housing,Buy budget homes according to your budget,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/buy-budget-homes-according-to-your/7889433639.html,N/A,Noida Extension,N/A,N/A,N/A,https://images.craigslist.org/d/7889433639/00N0N_3dHGnhGmOB1_0uY0eX_300x300.jpg
housing,"Invest Smartly in ACE Edit Studio Apartments, Greater Noida",https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/invest-smartly-in-ace-edit-studio/7889432467.html,"₨7,700,000","700ft 2 Jewar Airport, F1 Circuit, Film City",N/A,N/A,700sqft,https://images.craigslist.org/d/7889432467/00c0c_fsDPCK5nHey_0ew084_300x300.jpg
housing,Noida Authority Residential Plot Scheme,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/noida-authority-residential-plot-scheme/7889428532.html,"₨2,000,000",100ft 2 Noida,N/A,N/A,100sqft,https://images.craigslist.org/d/7889428532/00C0C_gSTqZ6WAqPK_096064_300x300.jpg
housing,Studio near Medanta Medicity Hospital in Sector 38 Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-near-medanta-medicity-hospital/7889211446.html,"₨2,800",1br 300ft 2 Gurgaon,N/A,1br,300sqft,https://images.craigslist.org/d/7889211446/00J0J_fQddZSDRXi4_0CI0lM_300x300.jpg
housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7889211089.html,"₨2,200",280ft 2 Gurgaon,N/A,1br,280sqft,https://images.craigslist.org/d/7889211089/00H0H_erBksd7SrVs_0ww0ii_300x300.jpg
housing,Neoliv Villas Faridabad - Spacious Family Villas,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/neoliv-villas-faridabad-spacious-family/7889195426.html,"₨9,500,000","Sectors 98 and 99A, Faridabad, Haryana",N/A,N/A,N/A,https://images.craigslist.org/d/7889195426/00x0x_2IBHl62nMCB_0cU07g_300x300.jpg
housing,Elan Sector 49 Sohna Road Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/rew/d/elan-sector-49-sohna-road-gurgaon/7889190034.html,N/A,Gurgaon,N/A,N/A,N/A,https://images.craigslist.org/d/7889190034/00p0p_fgAOdbLsxaa_0lT0eB_300x300.jpg
housing,Godrej Jardinia Floor Plan - Flats in Godrej Jardinia,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/godrej-jardinia-floor-plan-flats-in/7889190721.html,N/A,Noida,N/A,N/A,N/A,https://images.craigslist.org/d/7889190721/00606_33WxxSZTfV6_0gw09i_300x300.jpg
housing,Elan Sector 49 Sohna Road – Luxury That Defines Exclusivity,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/elan-sector-49-sohna-road-luxury-that/7889190466.html,"₨90,000,000",4br 4300ft 2 Sector 49 Gurgaon,N/A,4br,4300sqft,https://images.craigslist.org/d/7889190466/00E0E_k5n93viwjwy_0jm0bi_300x300.jpg
housing,Truevisory Realty Best Real Estate Consultancy,https://delhi.craigslist.orghttps://delhi.craigslist.org/swp/d/truevisory-realty-best-real-estate/7889186090.html,N/A,10/17,N/A,N/A,N/A,https://images.craigslist.org/d/7889186090/00K0K_kIZfWSSadUn_0pO0pO_300x300.jpg
housing,Are you searching for Builder Floors under Rs 40 lakh?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/are-you-searching-for-builder-floors/7889184518.html,N/A,Noida Extension,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Invest in AIPL Lake City Gurgaon – Premium Homes on Dwarka Expressway,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/invest-in-aipl-lake-city-gurgaon/7889183778.html,"₨35,000,000","3br 2200ft 2 Sector 103, Gurgaon",N/A,3br,2200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Premium Coworking Office in Noida – Flexible & Affordable Workspaces,https://delhi.craigslist.orghttps://delhi.craigslist.org/off/d/premium-coworking-office-in-noida/7887070427.html,N/A,10ft 2 Noida,N/A,N/A,10sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Looking for low rise builder floor in Noida,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/looking-for-low-rise-builder-floor-in/7889183270.html,"₨2,500,000",2200ft 2 Noida Extension,N/A,N/A,2200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"Best Coworking Space in Noida | TC Coworks Space N, Noida",https://delhi.craigslist.orghttps://delhi.craigslist.org/off/d/best-coworking-space-in-noida-tc/7889181868.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,New Launch – AIPL Lake City 103 Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/new-launch-aipl-lake-city-103-gurgaon/7889180251.html,"₨35,000,000","3br 2200ft 2 Sector 103, Gurgaon",N/A,3br,2200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Are you looking for farmhouses in Noida Sector 135?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/are-you-looking-for-farmhouses-in-noida/7889179734.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Are you looking for plots in Noida for Sale?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/are-you-looking-for-plots-in-noida-for/7889176998.html,"₨2,000,000",100ft 2 Noida,N/A,N/A,100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"Penthouse @ CyberCity, BathTub Terrace Garden",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/penthouse-cybercity-bathtub-terrace/7888968395.html,"₨4,500",50ft 2 Gurgaon,N/A,N/A,50sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Studio Apartment Golf Course Road Sec 43 gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-golf-course-road-sec/7888968224.html,"₨2,200",1br 250ft 2 Gurgaon,N/A,1br,250sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Divine Villa – Luxury Villas in Greater Noida West,https://delhi.craigslist.orghttps://delhi.craigslist.org/rew/d/divine-villa-luxury-villas-in-greater/7888948008.html,N/A,Greater Noida West,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,ACE Edit – Premium Studio Apartments on Yamuna Expressway,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/ace-edit-premium-studio-apartments-on/7888941318.html,"₨7,700,000","700ft 2 Jewar Airport, F1 Circuit, Film City",N/A,N/A,700sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Ace Medalleo – Crafted for the Few Who Aspire More,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/ace-medalleo-crafted-for-the-few-who/7888940379.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Meffier Garden Avenue – Premium Low-Rise Floors in Sohna,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/meffier-garden-avenue-premium-low-rise/7888940125.html,"₨17,500,000","1700ft 2 Sector 5, Sohna",N/A,N/A,1700sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Explore Godrej Majesty on My Property Fact – Real Estate That Inspires,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/explore-godrej-majesty-on-my-property/7888938083.html,"₨41,900,000","4br 1792ft 2 Sector-12, Greater Noida West",N/A,4br,1792sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Want to know about the authority's plot scheme in Noida?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/want-to-know-about-the-authoritys-plot/7888935233.html,"₨2,000,000",100ft 2 Greater Noida,N/A,N/A,100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,2 BHK Serviced Apartments in Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/bhk-serviced-apartments-in-gurgaon/7888781854.html,"₨2,000",2br Gurgaon,N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Studio Apartment Golf Course Road Sec 43 gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-golf-course-road-sec/7888723296.html,"₨2,200",1br 350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7888721378.html,"₨2,000",240ft 2 Gurgaon,N/A,1br,240sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"VVIP 22D – 3 & 4 BHK Apartments | Yamuna Expressway, Greater Nodia",https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/vvip-22d-bhk-apartments-yamuna/7888705238.html,"₨12,400,000",3br 1200ft 2 Noida,N/A,3br,1200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Amrapali Flats in Noida | For Sale,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/amrapali-flats-in-noida-for-sale/7888703974.html,"₨5,000,000",2900ft 2 Noida,N/A,N/A,2900sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Thriving in Noida: Flexible Coworking Spaces for Modern Professionals,https://delhi.craigslist.orghttps://delhi.craigslist.org/off/d/thriving-in-noida-flexible-coworking/7888702354.html,N/A,22000ft 2 Noida,N/A,N/A,22000sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Trinity High Street Floor Plan - Builder Floor in Noida Extension,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/trinity-high-street-floor-plan-builder/7888699035.html,N/A,Noida Extension,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Buy Sector 144 Noida Authority Plots at Best Deals,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/buy-sector-144-noida-authority-plots-at/7888698687.html,"₨2,000,000",100ft 2 Noida,N/A,N/A,100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Find Your Ideal 3 BHK in Greater Noida at My Property Fact,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/find-your-ideal-bhk-in-greater-noida-at/7888697274.html,"₨8,464,000","3br 1185ft 2 Techzone 4 Greater Noida West, Greater Noida",N/A,3br,1185sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Farm House in Noida for Sale – Verified Farmhouse in Noida,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/farm-house-in-noida-for-sale-verified/7888697264.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Eldeco Ballads of Bliss – 3 BHK + Study Duplex Penthouses | Sector 22D,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/eldeco-ballads-of-bliss-bhk-study/7888697058.html,"₨15,500,000",3br 1550ft 2 Noida,N/A,3br,1550sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7888474961.html,"₨2,000",1br 250ft 2 Gurgaon,N/A,1br,250sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Studio Apartment DLF Cyber City located in DLF Phase 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-dlf-cyber-city-located/7888473606.html,"₨3,000",300ft 2 Gurgaon,N/A,1br,300sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Are you searching for Lake View Farms with a swimming pool?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/are-you-searching-for-lake-view-farms/7888457944.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,What is the address of Royal Nest?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/what-is-the-address-of-royal-nest/7888454748.html,N/A,Noida Extension,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"Looking for 2 BHK, 3 BHK builder floors in Noida Extension?",https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/looking-for-bhk-bhk-builder-floors-in/7888454533.html,"₨2,500,000",1300ft 2 Noida Extension,N/A,N/A,1300sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Ready-to-Move 3 BHK Flats in Noida Extension | My Property Fact,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/ready-to-move-bhk-flats-in-noida/7888451119.html,"₨14,400,000","3br 737ft 2 Sector 2, Greater Noida West",N/A,3br,737sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Would you like to invest in a Noida farmhouse that offers luxury amen,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/would-you-like-to-invest-in-noida/7888446294.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Buy a plots in Noida Extension for just Rs 15 lakh,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/buy-plots-in-noida-extension-for-just/7888446097.html,"₨2,000,000",100ft 2 Noida Extension,N/A,N/A,100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"Flats for Rent in Bangalore – Convenient, Verified & Affordable",https://delhi.craigslist.orghttps://delhi.craigslist.org/roo/d/flats-for-rent-in-bangalore-convenient/7888339999.html,N/A,2br MUMBAI,N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"Urban Luxury & Nature at Nikoo Garden Estate, North Bengaluru",https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/urban-luxury-nature-at-nikoo-garden/7888205229.html,"₨15,000,000",5br 3200ft 2 Thanisandra,N/A,5br,3200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Logix Blossom County Floor Plan - Flats in Noida,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/logix-blossom-county-floor-plan-flats/7888203198.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Studio Apartment DLF Cyber City located in DLF Phase 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-dlf-cyber-city-located/7888201966.html,"₨3,000",1br 350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7888200639.html,"₨2,200",300ft 2 Gurgaon,N/A,1br,300sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Why Choose Builder Floors in Noida?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reb/d/why-choose-builder-floors-in-noida/7888199625.html,N/A,10/13,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Are you searching for Green Beauty Farmhouse in Noida?,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/are-you-searching-for-green-beauty/7888195288.html,N/A,Noida,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,"What is better to buy in Noida, a flat or a plot?",https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/what-is-better-to-buy-in-noida-flat-or/7888194984.html,"₨2,000,000",100ft 2 Noida,N/A,N/A,100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Any female.,https://delhi.craigslist.orghttps://delhi.craigslist.org/roo/d/any-female/7888012811.html,N/A,10/12,N/A,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Dly/mon 1 RK flat in Shimla (India),https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/dly-mon-rk-flat-in-shimla-india/7883794705.html,"₨6,500",1br 550ft 2,N/A,1br,550sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Godrej Plots Doddaballapur - New Premium Lands In Bangalore,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/godrej-plots-doddaballapur-new-premium/7887815628.html,"₨5,800,000",120040ft 2 Doddaballapur,N/A,N/A,120040sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Godrej Sora Sector 53 Gurgaon – Luxury 3 & 4 BHK Apartments,https://delhi.craigslist.orghttps://delhi.craigslist.org/reo/d/godrej-sora-sector-53-gurgaon-luxury/7887811005.html,"₨105,600,000",4br 3750ft 2 gurgaon,N/A,4br,3750sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Classic 2BHK - Green Park Hauz Khas Village,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/classic-2bhk-green-park-hauz-khas/7887804514.html,"₨12,483",2br 1100ft 2 Delhi,N/A,2br,1100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,Modern 1BHK - Green Park & Hauz Khas Village,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/modern-1bhk-green-park-hauz-khas-village/7887802851.html,"₨9,416",1br 700ft 2 Delhi,N/A,1br,700sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
housing,TARC Ishva Sector 63A – Where Luxury Meets Serenity.,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/tarc-ishva-sector-63a-where-luxury/7887801602.html,"₨57,500,000",4br Gurgaon,N/A,4br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
