Category,Title,Link,Price,Location,Date,Bedrooms,SqFt,ImageURL
apts / housing,TARC Ishva Sector 63A – Where Luxury Meets Serenity.,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/tarc-ishva-sector-63a-where-luxury/7887801602.html,"₨57,500,000",4br Gurgaon,N/A,4br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Elan Sector 49 Gurgaon: The Heart of Modern Living.,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/elan-sector-49-gurgaon-the-heart-of/7887801353.html,N/A,Gurgaon,N/A,4br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"3BHK Safdarjung Enclave, Terrace Garden, Lift",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/3bhk-safdarjung-enclave-terrace-garden/7887558178.html,"₨16,565",3br 2100ft 2 Delhi,N/A,3br,2100sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Classic Studio - Green Park Hauz Khas Village,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/classic-studio-green-park-hauz-khas/7887550966.html,"₨7,668",1br 450ft 2 Delhi,N/A,1br,450sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Buy Property in South Delhi – Premium Flats, Floors & Plots",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/buy-property-in-south-delhi-premium/7887550353.html,₨1,2br Delhi,N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"BluO 3BHK Green Park, Private Garden Balcony, Lift",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/bluo-3bhk-green-park-private-garden/7887545654.html,"₨14,255",3br 1800ft 2 Delhi,N/A,3br,1800sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7887333267.html,"₨2,000",1br 1ft 2 Gurgaon,N/A,1br,1sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio near Medanta Medicity Hospital in Sector 38 Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-near-medanta-medicity-hospital/7887332629.html,"₨3,000",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Studio Defence Colony Mkt - Kitchen, Balcony",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-defence-colony-mkt-kitchen/7887329837.html,"₨4,607",450ft 2 Delhi,N/A,1br,450sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Stay Near India Expo Mart – Book Y Stay by Lime Tree Hotels, Greater N",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/stay-near-india-expo-mart-book-stay-by/7887308174.html,"₨3,500",690ft 2 Gurgaon,N/A,1br,690sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio near Medanta Medicity Hospital in Sector 38 Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-near-medanta-medicity-hospital/7886822139.html,"₨3,000",200ft 2 Gurgaon,N/A,1br,200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartment DLF Cyber City located in DLF Phase 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-dlf-cyber-city-located/7886822005.html,"₨3,000",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near Medanta Medicity Hospital in Sector 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-medanta-medicity/7886577149.html,"₨2,000",300ft 2 Gurgaon,N/A,1br,300sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7886577135.html,"₨2,000",250ft 2 Gurgaon,N/A,1br,250sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near Medanta Medicity Hospital in Sector 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-medanta-medicity/7886173163.html,"₨2,000",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartment DLF Cyber Cityour property is located in DLF Phase 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-dlf-cyber-cityour/7886171955.html,"₨3,000",390ft 2 Gurgaon,N/A,1br,390sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Fully Furnished PG for Boys in Delhi | University Abode,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/fully-furnished-pg-for-boys-in-delhi/7885912177.html,N/A,"2br Kamla Nagar, Delhi",N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Why Choose a PG Over Renting a Flat? - University Abode,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/why-choose-pg-over-renting-flat/7885434797.html,N/A,"Kamla Nagar, Delhi",N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Lime Tree Hotels: Your Ultimate Base Near HUDA City Centre, Gurugram",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/lime-tree-hotels-your-ultimate-base/7885207912.html,"₨5,900",2000ft 2,N/A,2br,2000sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Best PG in Delhi | for Boys & Girls - University Abode,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/best-pg-in-delhi-for-boys-girls/7885192632.html,N/A,"Kamla Nagar, Delhi",N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Retail Shop for Rent in Noida,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/retail-shop-for-rent-in-noida/7884519054.html,"₨30,000",1br,N/A,1br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,2 Bedroom Serviced Apartment Near Udyog Vihar,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/bedroom-serviced-apartment-near-udyog/7884266646.html,"₨2,700",670ft 2 Gurgaon,N/A,1br,670sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Luxury 2BHK Serviced Apartment Near Cyber Hub Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/luxury-2bhk-serviced-apartment-near/7884266472.html,"₨3,500",650ft 2 Gurgaon,N/A,1br,650sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Spacious 2 Bedroom Serviced Apartment in DLF 5 Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/spacious-bedroom-serviced-apartment-in/7884266221.html,"₨3,500",700ft 2 Gurgaon,N/A,1br,700sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Fully Furnished 2 Bedroom Serviced Apartment,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/fully-furnished-bedroom-serviced/7884265423.html,"₨5,000",600ft 2 Gurgaon,N/A,1br,600sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Book Your Luxury 2BHK Serviced Apartment in Gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/book-your-luxury-2bhk-serviced/7884264387.html,"₨5,800",500ft 2 Gurgaon,N/A,1br,500sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Shapoorji Pallonji Dualis Sector 46 Gurgaon.,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/shapoorji-pallonji-dualis-sector-46/7883781067.html,"₨57,500,000",3br 2800ft 2 Gurgaon,N/A,3br,2800sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Smart Investor 2,3 BHK flats in Greater Noida at Low Cost",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/smart-investor-23-bhk-flats-in-greater/7883778842.html,N/A,7br Noida,N/A,7br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
